#1 arg remaining, starting with 'large_buffer.pcap'
#Ostermann's tcptrace -- version 6.6.7 -- Thu Nov  4, 2004

#3937 packets seen, 3937 TCP packets traced
#elapsed wallclock time: 0:00:00.096134, 40953 pkts/sec analyzed
#trace file elapsed time: 0:00:26.168189
#TCP connection info:
#214 TCP connections traced:
conn_#,host_a,host_b,port_a,port_b,first_packet,last_packet,total_packets_a2b,total_packets_b2a,resets_sent_a2b,resets_sent_b2a,ack_pkts_sent_a2b,ack_pkts_sent_b2a,pure_acks_sent_a2b,pure_acks_sent_b2a,sack_pkts_sent_a2b,sack_pkts_sent_b2a,dsack_pkts_sent_a2b,dsack_pkts_sent_b2a,max_sack_blks/ack_a2b,max_sack_blks/ack_b2a,unique_bytes_sent_a2b,unique_bytes_sent_b2a,actual_data_pkts_a2b,actual_data_pkts_b2a,actual_data_bytes_a2b,actual_data_bytes_b2a,rexmt_data_pkts_a2b,rexmt_data_pkts_b2a,rexmt_data_bytes_a2b,rexmt_data_bytes_b2a,zwnd_probe_pkts_a2b,zwnd_probe_pkts_b2a,zwnd_probe_bytes_a2b,zwnd_probe_bytes_b2a,outoforder_pkts_a2b,outoforder_pkts_b2a,pushed_data_pkts_a2b,pushed_data_pkts_b2a,SYN/FIN_pkts_sent_a2b,SYN/FIN_pkts_sent_b2a,req_1323_ws/ts_a2b,req_1323_ws/ts_b2a,adv_wind_scale_a2b,adv_wind_scale_b2a,req_sack_a2b,req_sack_b2a,sacks_sent_a2b,sacks_sent_b2a,urgent_data_pkts_a2b,urgent_data_pkts_b2a,urgent_data_bytes_a2b,urgent_data_bytes_b2a,mss_requested_a2b,mss_requested_b2a,max_segm_size_a2b,max_segm_size_b2a,min_segm_size_a2b,min_segm_size_b2a,avg_segm_size_a2b,avg_segm_size_b2a,max_win_adv_a2b,max_win_adv_b2a,min_win_adv_a2b,min_win_adv_b2a,zero_win_adv_a2b,zero_win_adv_b2a,avg_win_adv_a2b,avg_win_adv_b2a,initial_window_bytes_a2b,initial_window_bytes_b2a,initial_window_pkts_a2b,initial_window_pkts_b2a,ttl_stream_length_a2b,ttl_stream_length_b2a,missed_data_a2b,missed_data_b2a,truncated_data_a2b,truncated_data_b2a,truncated_packets_a2b,truncated_packets_b2a,data_xmit_time_a2b,data_xmit_time_b2a,idletime_max_a2b,idletime_max_b2a,hardware_dups_a2b,hardware_dups_b2a,throughput_a2b,throughput_b2a,RTT_samples_a2b,RTT_samples_b2a,RTT_min_a2b,RTT_min_b2a,RTT_max_a2b,RTT_max_b2a,RTT_avg_a2b,RTT_avg_b2a,RTT_stdev_a2b,RTT_stdev_b2a,RTT_from_3WHS_a2b,RTT_from_3WHS_b2a,RTT_full_sz_smpls_a2b,RTT_full_sz_smpls_b2a,RTT_full_sz_min_a2b,RTT_full_sz_min_b2a,RTT_full_sz_max_a2b,RTT_full_sz_max_b2a,RTT_full_sz_avg_a2b,RTT_full_sz_avg_b2a,RTT full_sz_stdev_a2b,RTT_full_sz_stdev_b2a,post-loss_acks_a2b,post-loss_acks_b2a,ambiguous_acks_a2b,ambiguous_acks_b2a,RTT_min_(last)_a2b,RTT_min_(last)_b2a,RTT_max_(last)_a2b,RTT_max_(last)_b2a,RTT_avg_(last)_a2b,RTT_avg_(last)_b2a,RTT_sdv_(last)_a2b,RTT_sdv_(last)_b2a,segs_cum_acked_a2b,segs_cum_acked_b2a,duplicate_acks_a2b,duplicate_acks_b2a,triple_dupacks_a2b,triple_dupacks_b2a,max_#_retrans_a2b,max_#_retrans_b2a,min_retr_time_a2b,min_retr_time_b2a,max_retr_time_a2b,max_retr_time_b2a,avg_retr_time_a2b,avg_retr_time_b2a,sdv_retr_time_a2b,sdv_retr_time_b2a,

1,10.0.0.1,20.0.0.1,33626,80,1696542765.446732 , 1696542765.619575 ,             14,             13,              0,              0,             13,             13,             11,              2,              0,              0,              0,              0,              0,              0,            155,          32528,              1,             10,            155,          32528,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,              2,            1/1,            1/1,            Y/Y,            Y/Y,             12,             12,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            155,           7240,            155,            188,            154,           3252,         135168,          69632,          65536,          69632,              0,              0,         103030,          69632,            155,            188,              1,              1,            155,          32528,              0,              0,              0,              0,              0,              0,          0.000,          0.028,           67.4,           87.6,              0,              0,            897,         188194,              3,             11,           20.1,            0.0,           20.2,            0.0,           20.2,            0.0,            0.1,            0.0,           20.2,            0.0,              2,              1,           20.1,            0.0,           20.2,            0.0,           20.2,            0.0,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,              0,              0,              1,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
2,10.0.0.1,20.0.0.1,33908,80,1696542765.681292 , 1696542766.16507 ,              8,              7,              0,              0,              7,              7,              5,              2,              0,              0,              0,              0,              0,              0,            155,          14739,              1,              4,            155,          14739,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,              2,            1/1,            1/1,            Y/Y,            Y/Y,             12,             12,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            155,          10136,            155,            188,            154,           3683,          65536,          69632,          65536,          69632,              0,              0,          65536,          69632,            155,            188,              1,              1,            155,          14739,              0,              0,              0,              0,              0,              0,          0.000,          0.049,          122.5,          121.5,              0,              0,            462,          43969,              3,              5,           77.6,            0.0,          121.4,            0.0,           94.7,            0.0,           23.4,            0.0,           85.0,            0.0,              2,              1,           77.6,            0.0,           85.0,            0.0,           81.3,            0.0,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,              0,              0,              1,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
3,10.0.0.1,20.0.0.1,34292,80,1696542766.540212 , 1696542766.852932 ,              7,              6,              0,              0,              6,              6,              4,              2,              0,              0,              0,              0,              0,              0,            155,          12739,              1,              3,            155,          12739,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,              2,            1/1,            1/1,            Y/Y,            Y/Y,             12,             12,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            155,           8688,            155,            188,            154,           4244,          65536,          69632,          65536,          69632,              0,              0,          65536,          69632,            155,            188,              1,              1,            155,          12739,              0,              0,              0,              0,              0,              0,          0.000,          0.000,          123.3,          122.1,              0,              0,            496,          40736,              3,              4,           85.3,            0.0,          121.8,            0.0,          102.7,            0.0,           18.3,            0.0,           85.3,            0.0,              2,              1,           85.3,            0.0,          101.1,            0.0,           93.2,            0.0,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,              0,              0,              1,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
4,10.0.0.1,20.0.0.1,34388,80,1696542766.732210 , 1696542767.480206 ,             10,              9,              0,              0,              9,              9,              6,              2,              1,              0,              1,              0,              1,              0,            155,          19707,              1,              6,            155,          20402,              1,              1,              1,            696,              0,              0,              0,              0,              0,              0,              1,              3,            1/2,            1/2,            Y/Y,            Y/Y,             12,             12,              Y,              Y,              1,              0,              0,              0,              0,              0,           1460,           1460,            155,          13032,            155,            188,            154,           3399,          94208,          69632,          65536,          69632,              0,              0,          85105,          69632,            155,            188,              1,              1,            155,          19707,              0,              0,              0,              0,              0,              0,          0.000,          0.553,          335.4,          433.4,              0,              0,            207,          26346,              2,              6,           63.8,            0.0,          110.5,            0.4,           87.1,            0.1,            0.0,            0.2,          110.5,            0.0,              1,              1,          110.5,            0.0,          110.5,            0.0,          110.5,            0.0,            0.0,            0.0,              0,              0,              1,              0,          117.2,            0.0,          117.2,            0.0,          117.2,            0.0,            0.0,            0.0,              0,              0,              0,              2,              0,              0,              1,              0,          335.4,            0.0,          335.4,            0.0,          335.4,            0.0,            0.0,            0.0,
5,10.0.0.1,20.0.0.1,34406,80,1696542766.781712 , 1696542767.75865 ,              8,              8,              0,              0,              7,              8,              5,              2,              0,              0,              0,              0,              0,              0,            155,          12065,              1,              5,            155,          12065,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,              2,            1/1,            1/1,            Y/Y,            Y/Y,             12,             12,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            155,           5792,            155,            188,            154,           2412,          94208,          69632,          65536,          69632,              0,              0,          77824,          69632,            155,            188,              1,              1,            155,          12065,              0,              0,              0,              0,              0,              0,          0.000,          0.000,           87.6,          123.6,              0,              0,            527,          41016,              3,              6,           80.4,            0.0,          121.8,            1.8,           96.6,            0.3,           22.1,            0.7,           87.5,            0.0,              2,              1,           87.5,            0.0,          121.8,            0.0,          104.7,            0.0,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,              0,              0,              0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
6,10.0.0.1,20.0.0.1,34540,80,1696542766.997120 , 1696542768.477434 ,             18,             16,              0,              0,             16,             16,             14,              2,              0,              0,              0,              0,              0,              0,            155,          30376,              1,             13,            155,          30376,              1,              0,              1,              0,              0,              0,              0,              0,              0,              0,              1,              2,            2/1,            1/1,            Y/Y,            Y/Y,             12,             12,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            155,           5792,            155,            188,            154,           2336,          65536,          69632,          65536,          69632,              0,              0,          65536,          69632,            155,            188,              1,              1,            155,          30376,              0,              0,              0,              0,              0,              0,          0.000,          0.145,         1005.9,          119.3,              0,              0,            105,          20520,              2,             14,           91.1,            0.0,          118.8,            0.0,          104.9,            0.0,            0.0,            0.0,            0.0,            0.0,              1,              1,          118.8,            0.0,          118.8,            0.0,          118.8,            0.0,            0.0,            0.0,              0,              0,              1,              0,          117.2,            0.0,          117.2,            0.0,          117.2,            0.0,            0.0,            0.0,              0,              0,              0,              1,              0,              0,              1,              0,         1005.9,            0.0,         1005.9,            0.0,         1005.8,            0.0,            0.0,            0.0,
7,10.0.0.1,20.0.0.1,34608,80,1696542767.184590 , 1696542767.593872 ,             11,             10,              0,              0,             10,             10,              8,              2,              0,              0,              0,              0,              0,              0,            155,          21422,              1,              7,            155,          21422,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,              2,            1/1,            1/1,            Y/Y,            Y/Y,             12,             12,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            155,           5792,            155,            188,            154,           3059,          65536,          69632,          65536,          69632,              0,              0,          65536,          69632,            155,            188,              1,              1,            155,          21422,              0,              0,              0,              0,              0,              0,          0.000,          0.133,          122.6,          121.5,              0,              0,            379,          52340,              3,              8,           67.5,            0.0,          121.0,            0.0,           91.3,            0.0,           27.2,            0.0,           67.5,            0.0,              2,              1,           67.5,            0.0,           85.3,            0.0,           76.4,            0.0,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,              0,              0,              1,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
8,10.0.0.1,20.0.0.1,34612,80,1696542767.186938 , 1696542767.958930 ,             16,             14,              0,              0,             15,             14,             12,              2,              0,              0,              0,              0,              0,              0,            155,          34025,              2,             11,            310,          34025,              1,              0,            155,              0,              0,              0,              0,              0,              0,              0,              2,              2,            1/1,            1/1,            Y/Y,            Y/Y,             12,             12,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            155,           8688,            155,            188,            154,           3092,          65536,          69632,          65536,          69632,              0,              0,          65536,          69632,            155,            188,              1,              1,            155,          34025,              0,              0,              0,              0,              0,              0,          0.299,          0.174,          299.4,          418.8,              0,              0,            201,          44074,              2,             12,           68.6,            0.0,          108.3,            0.0,           88.4,            0.0,            0.0,            0.0,           68.6,            0.0,              2,              1,           68.6,            0.0,          108.3,            0.0,           88.4,            0.0,            0.0,            0.0,              0,              0,              1,              0,          119.3,            0.0,          119.3,            0.0,          119.2,            0.0,            0.0,            0.0,              0,              0,              0,              1,              0,              0,              1,              0,          299.4,            0.0,          299.4,            0.0,          299.4,            0.0,            0.0,            0.0,
9,10.0.0.1,20.0.0.1,34656,80,1696542767.259031 , 1696542768.624442 ,              7,              6,              0,              0,              5,              6,              3,              2,              0,              0,              0,              0,              0,              0,            155,           2321,              1,              3,            155,           2321,              1,              0,              1,              0,              0,              0,              0,              0,              0,              0,              1,              2,            2/1,            1/1,            Y/Y,            Y/Y,             12,             12,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            155,           1448,            155,            187,            154,            773,          65536,          69632,          65536,          69632,              0,              0,          65536,          69632,            155,            187,              1,              1,            155,           2321,              0,              0,              0,              0,              0,              0,          0.000,          0.000,         1032.0,          118.0,              0,              0,            114,           1700,              2,              4,           93.1,            0.0,          117.9,            0.3,          105.5,            0.1,            0.0,            0.2,            0.0,            0.0,              1,              1,           93.1,            0.0,           93.1,            0.0,           93.1,            0.0,            0.0,            0.0,              0,              0,              1,              0,          120.3,            0.0,          120.3,            0.0,          120.3,            0.0,            0.0,            0.0,              0,              0,              0,              0,              0,              0,              1,              0,         1032.0,            0.0,         1032.0,            0.0,         1031.9,            0.0,            0.0,            0.0,
