#1 arg remaining, starting with 'short_buffer.pcap'
#Ostermann's tcptrace -- version 6.6.7 -- Thu Nov  4, 2004

#18629 packets seen, 18629 TCP packets traced
#elapsed wallclock time: 0:00:00.113296, 164427 pkts/sec analyzed
#trace file elapsed time: 0:03:56.242537
#TCP connection info:
#1095 TCP connections traced:
conn_#,host_a,host_b,port_a,port_b,first_packet,last_packet,total_packets_a2b,total_packets_b2a,resets_sent_a2b,resets_sent_b2a,ack_pkts_sent_a2b,ack_pkts_sent_b2a,pure_acks_sent_a2b,pure_acks_sent_b2a,sack_pkts_sent_a2b,sack_pkts_sent_b2a,dsack_pkts_sent_a2b,dsack_pkts_sent_b2a,max_sack_blks/ack_a2b,max_sack_blks/ack_b2a,unique_bytes_sent_a2b,unique_bytes_sent_b2a,actual_data_pkts_a2b,actual_data_pkts_b2a,actual_data_bytes_a2b,actual_data_bytes_b2a,rexmt_data_pkts_a2b,rexmt_data_pkts_b2a,rexmt_data_bytes_a2b,rexmt_data_bytes_b2a,zwnd_probe_pkts_a2b,zwnd_probe_pkts_b2a,zwnd_probe_bytes_a2b,zwnd_probe_bytes_b2a,outoforder_pkts_a2b,outoforder_pkts_b2a,pushed_data_pkts_a2b,pushed_data_pkts_b2a,SYN/FIN_pkts_sent_a2b,SYN/FIN_pkts_sent_b2a,req_1323_ws/ts_a2b,req_1323_ws/ts_b2a,adv_wind_scale_a2b,adv_wind_scale_b2a,req_sack_a2b,req_sack_b2a,sacks_sent_a2b,sacks_sent_b2a,urgent_data_pkts_a2b,urgent_data_pkts_b2a,urgent_data_bytes_a2b,urgent_data_bytes_b2a,mss_requested_a2b,mss_requested_b2a,max_segm_size_a2b,max_segm_size_b2a,min_segm_size_a2b,min_segm_size_b2a,avg_segm_size_a2b,avg_segm_size_b2a,max_win_adv_a2b,max_win_adv_b2a,min_win_adv_a2b,min_win_adv_b2a,zero_win_adv_a2b,zero_win_adv_b2a,avg_win_adv_a2b,avg_win_adv_b2a,initial_window_bytes_a2b,initial_window_bytes_b2a,initial_window_pkts_a2b,initial_window_pkts_b2a,ttl_stream_length_a2b,ttl_stream_length_b2a,missed_data_a2b,missed_data_b2a,truncated_data_a2b,truncated_data_b2a,truncated_packets_a2b,truncated_packets_b2a,data_xmit_time_a2b,data_xmit_time_b2a,idletime_max_a2b,idletime_max_b2a,hardware_dups_a2b,hardware_dups_b2a,throughput_a2b,throughput_b2a,RTT_samples_a2b,RTT_samples_b2a,RTT_min_a2b,RTT_min_b2a,RTT_max_a2b,RTT_max_b2a,RTT_avg_a2b,RTT_avg_b2a,RTT_stdev_a2b,RTT_stdev_b2a,RTT_from_3WHS_a2b,RTT_from_3WHS_b2a,RTT_full_sz_smpls_a2b,RTT_full_sz_smpls_b2a,RTT_full_sz_min_a2b,RTT_full_sz_min_b2a,RTT_full_sz_max_a2b,RTT_full_sz_max_b2a,RTT_full_sz_avg_a2b,RTT_full_sz_avg_b2a,RTT full_sz_stdev_a2b,RTT_full_sz_stdev_b2a,post-loss_acks_a2b,post-loss_acks_b2a,ambiguous_acks_a2b,ambiguous_acks_b2a,RTT_min_(last)_a2b,RTT_min_(last)_b2a,RTT_max_(last)_a2b,RTT_max_(last)_b2a,RTT_avg_(last)_a2b,RTT_avg_(last)_b2a,RTT_sdv_(last)_a2b,RTT_sdv_(last)_b2a,segs_cum_acked_a2b,segs_cum_acked_b2a,duplicate_acks_a2b,duplicate_acks_b2a,triple_dupacks_a2b,triple_dupacks_b2a,max_#_retrans_a2b,max_#_retrans_b2a,min_retr_time_a2b,min_retr_time_b2a,max_retr_time_a2b,max_retr_time_b2a,avg_retr_time_a2b,avg_retr_time_b2a,sdv_retr_time_a2b,sdv_retr_time_b2a,

1,10.0.0.1,20.0.0.1,38924,80,1696544396.124927 , 1696544396.223432 ,             15,             14,              0,              0,             14,             14,             12,              2,              0,              0,              0,              0,              0,              0,            155,          32528,              1,             11,            155,          32528,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,              2,            1/1,            1/1,            Y/Y,            Y/Y,             12,             12,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            155,           8688,            155,            188,            154,           2956,         135168,          69632,          65536,          69632,              0,              0,         101522,          69632,            155,            188,              1,              1,            155,          32528,              0,              0,              0,              0,              0,              0,          0.000,          0.028,           21.0,           25.1,              0,              0,           1574,         330217,              3,             12,           20.1,            0.0,           20.2,            0.0,           20.2,            0.0,            0.0,            0.0,           20.2,            0.0,              2,              1,           20.1,            0.0,           20.2,            0.0,           20.2,            0.0,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,              0,              0,              1,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
2,10.0.0.1,20.0.0.1,39250,80,1696544396.397068 , 1696544396.480062 ,              8,              7,              0,              0,              7,              7,              5,              2,              0,              0,              0,              0,              0,              0,            155,          14739,              1,              4,            155,          14739,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,              2,            1/1,            1/1,            Y/Y,            Y/Y,             12,             12,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            155,          10136,            155,            188,            154,           3683,          65536,          69632,          65536,          69632,              0,              0,          65536,          69632,            155,            188,              1,              1,            155,          14739,              0,              0,              0,              0,              0,              0,          0.000,          0.020,           22.0,           20.6,              0,              0,           1868,         177591,              3,              5,           20.1,            0.0,           20.2,            0.0,           20.2,            0.0,            0.0,            0.0,           20.2,            0.0,              2,              1,           20.1,            0.0,           20.2,            0.0,           20.2,            0.0,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,              0,              0,              1,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
3,10.0.0.1,20.0.0.1,39640,80,1696544396.746558 , 1696544396.811974 ,              7,              7,              0,              0,              6,              7,              4,              2,              0,              0,              0,              0,              0,              0,            155,          12739,              1,              4,            155,          12739,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,              2,            1/1,            1/1,            Y/Y,            Y/Y,             12,             12,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            155,           7240,            155,            188,            154,           3183,          65536,          69632,          65536,          69632,              0,              0,          65536,          69632,            155,            188,              1,              1,            155,          12739,              0,              0,              0,              0,              0,              0,          0.000,          0.000,           21.6,           23.4,              0,              0,           2369,         194738,              3,              5,           20.2,            0.0,           20.3,            3.1,           20.3,            0.6,            0.1,            1.4,           20.2,            0.0,              2,              1,           20.2,            0.0,           20.3,            0.0,           20.3,            0.0,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,              0,              0,              0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
4,10.0.0.1,20.0.0.1,39934,80,1696544397.43367 , 1696544397.128519 ,             10,             10,              0,              0,              9,             10,              7,              2,              0,              0,              0,              0,              0,              0,            155,          19707,              1,              7,            155,          19707,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,              2,            1/1,            1/1,            Y/Y,            Y/Y,             12,             12,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            155,           5792,            155,            188,            154,           2814,          65536,          69632,          65536,          69632,              0,              0,          65536,          69632,            155,            188,              1,              1,            155,          19707,              0,              0,              0,              0,              0,              0,          0.000,          0.022,           21.7,           21.0,              0,              0,           1820,         231433,              3,              8,           20.1,            0.0,           20.2,            0.8,           20.1,            0.1,            0.0,            0.3,           20.2,            0.0,              2,              1,           20.1,            0.0,           20.2,            0.0,           20.1,            0.0,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,              0,              0,              0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
5,10.0.0.1,20.0.0.1,40180,80,1696544397.312451 , 1696544397.374804 ,              7,              6,              0,              0,              6,              6,              4,              2,              0,              0,              0,              0,              0,              0,            155,          12065,              1,              3,            155,          12065,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,              2,            1/1,            1/1,            Y/Y,            Y/Y,             12,             12,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            155,           8981,            155,            188,            154,           4020,          65536,          69632,          65536,          69632,              0,              0,          65536,          69632,            155,            188,              1,              1,            155,          12065,              0,              0,              0,              0,              0,              0,          0.000,          0.000,           21.4,           20.6,              0,              0,           2486,         193495,              3,              4,           20.1,            0.0,           20.2,            0.0,           20.1,            0.0,            0.0,            0.0,           20.2,            0.0,              2,              1,           20.1,            0.0,           20.2,            0.0,           20.1,            0.0,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,              0,              0,              1,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
6,10.0.0.1,20.0.0.1,40526,80,1696544397.782050 , 1696544397.870658 ,             14,             13,              0,              0,             13,             13,             11,              2,              0,              0,              0,              0,              0,              0,            155,          30376,              1,             10,            155,          30376,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,              2,            1/1,            1/1,            Y/Y,            Y/Y,             12,             12,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            155,          10136,            155,            188,            154,           3037,          65536,          69632,          65536,          69632,              0,              0,          65536,          69632,            155,            188,              1,              1,            155,          30376,              0,              0,              0,              0,              0,              0,          0.000,          0.026,           21.6,           20.4,              0,              0,           1749,         342813,              3,             11,           20.1,            0.0,           20.1,            0.0,           20.1,            0.0,            0.0,            0.0,           20.1,            0.0,              2,              1,           20.1,            0.0,           20.1,            0.0,           20.1,            0.0,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,              0,              0,              1,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
7,10.0.0.1,20.0.0.1,40624,80,1696544397.928286 , 1696544398.13226 ,             10,              9,              0,              0,              9,              9,              7,              2,              0,              0,              0,              0,              0,              0,            155,          21422,              1,              6,            155,          21422,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,              2,            1/1,            1/1,            Y/Y,            Y/Y,             12,             12,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            155,          13032,            155,            188,            154,           3569,          65536,          69632,          65536,          69632,              0,              0,          65536,          69632,            155,            188,              1,              1,            155,          21422,              0,              0,              0,              0,              0,              0,          0.000,          0.022,           21.3,           20.9,              0,              0,           1825,         252202,              3,              7,           20.1,            0.0,           20.1,            0.0,           20.1,            0.0,            0.0,            0.0,           20.1,            0.0,              2,              1,           20.1,            0.0,           20.1,            0.0,           20.1,            0.0,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,              0,              0,              1,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
8,10.0.0.1,20.0.0.1,40668,80,1696544398.20098 , 1696544398.112125 ,             19,             19,              0,              0,             18,             19,             16,              2,              0,              0,              0,              0,              0,              0,            155,          34025,              1,             16,            155,          34025,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,              2,            1/1,            1/1,            Y/Y,            Y/Y,             12,             12,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            155,           7240,            155,            188,            154,           2126,          65536,          69632,          65536,          69632,              0,              0,          65536,          69632,            155,            188,              1,              1,            155,          34025,              0,              0,              0,              0,              0,              0,          0.000,          0.029,           21.5,           20.8,              0,              0,           1684,         369728,              3,             17,           20.1,            0.0,           20.3,            0.7,           20.2,            0.0,            0.1,            0.2,           20.2,            0.0,              2,              1,           20.1,            0.0,           20.2,            0.0,           20.2,            0.0,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,              0,              0,              0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
9,10.0.0.1,20.0.0.1,40680,80,1696544398.50319 , 1696544398.112250 ,              6,              6,              0,              0,              5,              6,              3,              2,              0,              0,              0,              0,              0,              0,            155,           2321,              1,              3,            155,           2321,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,              2,            1/1,            1/1,            Y/Y,            Y/Y,             12,             12,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            155,           1448,            155,            187,            154,            773,          65536,          69632,          65536,          69632,              0,              0,          65536,          69632,            155,            187,              1,              1,            155,           2321,              0,              0,              0,              0,              0,              0,          0.000,          0.000,           21.1,           20.5,              0,              0,           2503,          37477,              3,              4,           20.1,            0.0,           20.2,            0.4,           20.1,            0.1,            0.0,            0.2,           20.1,            0.0,              2,              1,           20.1,            0.0,           20.1,            0.0,           20.1,            0.0,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,              0,              0,              0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
